19-04-2019,20-04-2019,Excelsior Hotel,$296,4.2/5,"2,780"
19-04-2019,20-04-2019,LeTap Inn JFK Airport,$179,3.2/5,65
19-04-2019,20-04-2019,Broadway Hotel and Hostel,$165,3.3/5,"1,060"
19-04-2019,20-04-2019,"Hudson New York, Central Park",$229,3.5/5,"8,959"
19-04-2019,20-04-2019,Hotel 48LEX New York,$296,4.4/5,"1,044"
19-04-2019,20-04-2019,Hillside Hotel,$150,3.4/5,210
19-04-2019,20-04-2019,Arthouse Hotel New York City,$315,4.2/5,"6,024"
19-04-2019,20-04-2019,Fifty Hotel & Suites by Affinia,$220,4.2/5,"2,258"
19-04-2019,20-04-2019,Edge Hotel,$279,4.4/5,398
19-04-2019,20-04-2019,Shelburne Hotel & Suites by Affinia,$252,4.3/5,"4,938"
19-04-2019,20-04-2019,San Carlos Hotel,$285,4.5/5,"1,579"
19-04-2019,20-04-2019,WestHouse New York,$245,4.3/5,"1,830"
19-04-2019,20-04-2019,The James New York - NoMad,$264,4.2/5,876
19-04-2019,20-04-2019,Dream Midtown,$265,4.1/5,"2,441"
19-04-2019,20-04-2019,Courtyard by Marriott New York Queens/Fresh Meadows,$224,4.5/5,130
19-04-2019,20-04-2019,AirTrain Plaza Hotel JFK Airport,$179,3.1/5,67
19-04-2019,20-04-2019,Adria Hotel And Conference Center,$182,3.8/5,"1,231"
19-04-2019,20-04-2019,The Hoxton Williamsburg,$339,4.7/5,171
19-04-2019,20-04-2019,Lotte New York Palace,$395,4.6/5,"7,272"
19-04-2019,20-04-2019,"Club Quarters Hotel, Grand Central",$269,4.4/5,"1,831"
19-04-2019,20-04-2019,Park Central Hotel New York,$249,3.9/5,"8,153"
19-04-2019,20-04-2019,Belnord Hotel,$315,3.7/5,"4,716"
19-04-2019,20-04-2019,Hotel Belleclaire,$303,4.0/5,"5,637"
19-04-2019,20-04-2019,Best Western Jamaica Inn,$210,3.8/5,"1,314"
19-04-2019,20-04-2019,Cassa Hotel NY 45th Street,$220,4.4/5,"2,266"
19-04-2019,20-04-2019,The Surrey,$675,4.6/5,947
19-04-2019,20-04-2019,Parker New York,$319,4.1/5,284
19-04-2019,20-04-2019,Ace Hotel New York,$199,4.3/5,"1,640"
19-04-2019,20-04-2019,"Club Quarters Hotel, opposite Rockefeller Center",$259,4.1/5,"4,118"
19-04-2019,20-04-2019,Pod Brooklyn,$219,4.4/5,983
19-04-2019,20-04-2019,"PUBLIC, an Ian Schrager hotel",$265,4.4/5,"1,342"
19-04-2019,20-04-2019,The Time New York,$269,4.2/5,728
19-04-2019,20-04-2019,"Club Quarters, Times Square - Midtown",$259,4.1/5,"4,189"
19-04-2019,20-04-2019,Riverside Tower Hotel,$144,3.4/5,528
19-04-2019,20-04-2019,Chambers Hotel,$251,4.4/5,435
19-04-2019,20-04-2019,The Manhattan at Times Square Hotel,$230,3.3/5,"10,392"
19-04-2019,20-04-2019,YOTEL New York,$217,4.3/5,"13,295"
19-04-2019,20-04-2019,Pod Times Square,$179,4.5/5,"2,349"
19-04-2019,20-04-2019,Seton Hotel,$260,4.0/5,"1,922"
19-04-2019,20-04-2019,Hotel Le Jolie,$290,4.4/5,882
19-04-2019,20-04-2019,Wellington Hotel,$255,3.7/5,"14,132"
19-04-2019,20-04-2019,Millennium Times Square New York,$220,4.0/5,"13,281"
19-04-2019,20-04-2019,La Quinta by Wyndham New York City Central Park,$209,3.8/5,577
19-04-2019,20-04-2019,Mondrian Park Avenue,$285,4.4/5,722
19-04-2019,20-04-2019,Refinery Hotel,$269,4.6/5,"1,811"
19-04-2019,20-04-2019,The Sherry Netherland,$459,4.8/5,380
19-04-2019,20-04-2019,1 Hotel Central Park,$651,4.6/5,843
