19-04-2019,20-04-2019,Sheraton Tribeca New York Hotel,715,8.1/10,"2,517"
19-04-2019,20-04-2019,Holiday Inn New York City - Times Square,823,8.3/10,843
19-04-2019,20-04-2019,Millennium Hilton New York One UN Plaza,895,8.4/10,"3,979"
19-04-2019,20-04-2019,Club Quarters Hotel Wall Street,852,8.4/10,"1,970"
19-04-2019,20-04-2019,InterContinental New York Barclay Hotel,"1,434",8.7/10,"2,274"
19-04-2019,20-04-2019,Four Seasons Hotel New York Downtown,"2,318",9.3/10,291
19-04-2019,20-04-2019,Hotel Boutique at Grand Central,859,8.7/10,"2,102"
19-04-2019,20-04-2019,citizenM New York Times Square,"1,398",9.2/10,"5,199"
19-04-2019,20-04-2019,The Mansfield Hotel,"1,039",7.6/10,784
19-04-2019,20-04-2019,"The Paul Hotel NYC-Chelsea, an Ascend Hotel Collection Member",823,7.9/10,"1,372"
19-04-2019,20-04-2019,Westin New York at Times Square,"1,290",8.1/10,"1,272"
19-04-2019,20-04-2019,The Roxy Hotel Tribeca,931,8.9/10,"1,228"
19-04-2019,20-04-2019,Hilton Garden Inn Times Square,960,8.3/10,"1,919"
19-04-2019,20-04-2019,Kimpton Ink48 Hotel,882,8.7/10,644
19-04-2019,20-04-2019,The Assemblage John Street,"1,254",9.2/10,262
19-04-2019,20-04-2019,Cachet Boutique Hotel NYC,"1,193",7.8/10,"1,068"
19-04-2019,20-04-2019,The Gallivant Times Square,946,7.3/10,"5,770"
19-04-2019,20-04-2019,Carvi Hotel New York,679,8.5/10,"1,151"
19-04-2019,20-04-2019,Hilton Garden Inn Times Square Central,812,8.3/10,"1,230"
19-04-2019,20-04-2019,Hampton Inn Manhattan-Times Square North,898,8.3/10,"1,628"
19-04-2019,20-04-2019,The Mercer,"2,426",9.0/10,253
19-04-2019,20-04-2019,Hotel 32 32,791,8.1/10,"1,035"
19-04-2019,20-04-2019,The Roosevelt Hotel,802,7.1/10,"1,103"
19-04-2019,20-04-2019,Best Western Bowery Hanbee Hotel,931,8.2/10,"1,055"
19-04-2019,20-04-2019,Solita Soho Hotel,931,7.8/10,668
19-04-2019,20-04-2019,The Quin Central Park by Hilton Club,"1,578",8.8/10,"1,526"
19-04-2019,20-04-2019,La Quinta by Wyndham New York City Central Park,751,7.6/10,"3,404"
19-04-2019,20-04-2019,The NoMad Hotel,"1,193",9.0/10,655
19-04-2019,20-04-2019,Ameritania at Times Square,852,8.3/10,"2,721"
19-04-2019,20-04-2019,Staybridge Suites - Times Square - New York City,823,8.1/10,"3,161"
19-04-2019,20-04-2019,Hotel on Rivington,822,8.5/10,763
19-04-2019,20-04-2019,Sofitel New York,"1,003",8.6/10,"1,245"
19-04-2019,20-04-2019,The Evelyn,"1,003",8.9/10,266
19-04-2019,20-04-2019,The Frederick Hotel,931,8.4/10,"1,520"
19-04-2019,20-04-2019,The New York EDITION,"1,527",8.9/10,641
19-04-2019,20-04-2019,InterContinental New York Times Square,"1,078",8.0/10,"2,886"
19-04-2019,20-04-2019,TRYP by Wyndham Times Square South,"1,075",8.1/10,"2,733"
19-04-2019,20-04-2019,Chambers Hotel,901,8.7/10,986
19-04-2019,20-04-2019,Dream Downtown,791,7.7/10,"1,514"
19-04-2019,20-04-2019,11 Howard,902,8.3/10,685
19-04-2019,20-04-2019,Walker Hotel Greenwich Village,"1,024",8.4/10,802
19-04-2019,20-04-2019,Ace Hotel New York,716,8.4/10,"1,556"
19-04-2019,20-04-2019,DoubleTree by Hilton Metropolitan New York City,"1,003",7.7/10,"3,522"
19-04-2019,20-04-2019,Lombardy Hotel,"1,542",8.6/10,"1,033"
19-04-2019,20-04-2019,The Peninsula New York,"3,576",8.8/10,289
19-04-2019,20-04-2019,"The Bernic Hotel New York City,Tapestry Collection by Hilton","1,003",8.6/10,"1,687"
19-04-2019,20-04-2019,Hotel Indigo Lower East Side,967,8.6/10,"1,172"
19-04-2019,20-04-2019,"The Beekman, a Thompson Hotel","1,254",9.2/10,"2,477"
19-04-2019,20-04-2019,Lord & Moris - Times Square Hotel,787,7.8/10,686
19-04-2019,20-04-2019,Hilton Garden Inn Central Park South,"1,111",8.3/10,"3,737"
19-04-2019,20-04-2019,Hotel Belleclaire,"1,090",7.9/10,"3,222"
19-04-2019,20-04-2019,Hotel Hugo,787,8.1/10,"1,070"
19-04-2019,20-04-2019,The Kitano Hotel New York,"1,566",8.7/10,825
19-04-2019,20-04-2019,Hotel Hayden New York,890,8.2/10,"1,207"
19-04-2019,20-04-2019,Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,895,8.5/10,"2,012"
19-04-2019,20-04-2019,"The Langham, New York, Fifth Avenue","1,858",9.2/10,"1,103"
19-04-2019,20-04-2019,Courtyard New York Manhattan/Times Square,"1,075",8.4/10,"1,280"
19-04-2019,20-04-2019,Kimpton Hotel Eventi,"1,057",8.7/10,696
19-04-2019,20-04-2019,The Roger,805,8.3/10,"1,107"
19-04-2019,20-04-2019,Hilton New York Fashion District,852,8.2/10,"1,322"
19-04-2019,20-04-2019,EVEN Hotel New York - Midtown East 44th,"1,096",8.6/10,"1,719"
19-04-2019,20-04-2019,Room Mate Grace Boutique Hotel,"1,218",8.7/10,"1,926"
19-04-2019,20-04-2019,Moderne Hotel,773,8.4/10,977
